"","time","x","y","z"
"1",1607342129.59109,-0.015625,-0.046875,-0.9375
"2",1607342129.60109,-0.015625,-0.046875,-0.9375
"3",1607342129.61109,-0.015625,-0.046875,-0.9375
"4",1607342129.62109,-0.015625,-0.046875,-0.9375
"5",1607342129.63109,-0.015625,-0.046875,-0.9375
"6",1607342129.64109,-0.015625,-0.046875,-0.9375
"7",1607342129.65109,-0.015625,-0.046875,-0.9375
"8",1607342129.66109,-0.015625,-0.046875,-0.9375
"9",1607342129.67109,-0.015625,-0.046875,-0.949515946978467
"10",1607342129.68109,-0.015625,-0.046875,-0.953125
"11",1607342129.69109,-0.015625,-0.046875,-0.942011316276916
"12",1607342129.70109,-0.015625,-0.046875,-0.9375
"13",1607342129.71109,-0.015625,-0.046875,-0.9375
"14",1607342129.7211,-0.015625,-0.046875,-0.9375
"15",1607342129.7311,-0.015625,-0.046875,-0.9375
"16",1607342129.7411,-0.015625,-0.046875,-0.946358387358185
"17",1607342129.7511,-0.015625,-0.046875,-0.944717744269507
"18",1607342129.7611,-0.015625,-0.046875,-0.9375
"19",1607342129.7711,-0.015625,-0.046875,-0.9375
"20",1607342129.7811,-0.015625,-0.046875,-0.944553860847418
"21",1607342129.7911,-0.015625,-0.046875,-0.946522270780273
"22",1607342129.8011,-0.015625,-0.046875,-0.9375
"23",1607342129.81109,-0.015625,-0.046875,-0.9375
"24",1607342129.82109,-0.015625,-0.046875,-0.9375
"25",1607342129.83109,-0.015625,-0.046875,-0.942298564482519
"26",1607342129.84109,-0.015625,-0.046875,-0.948777567145172
"27",1607342129.85109,-0.015625,-0.046875,-0.941396301227136
"28",1607342129.86109,-0.015625,-0.046875,-0.953125
"29",1607342129.87109,-0.015625,-0.046875,-0.950130962028247
"30",1607342129.88109,-0.015625,-0.046875,-0.9375
"31",1607342129.89109,-0.015625,-0.046875,-0.93959177471637
"32",1607342129.90109,-0.015625,-0.046875,-0.951484356911322
"33",1607342129.91109,-0.015625,-0.046875,-0.9375
"34",1607342129.92109,-0.015625,-0.046875,-0.9375
"35",1607342129.93109,-0.015625,-0.046875,-0.9375
"36",1607342129.94109,-0.015625,-0.046875,-0.9375
"37",1607342129.95109,-0.015625,-0.046875,-0.9375
"38",1607342129.96109,-0.015625,-0.046875,-0.9375
"39",1607342129.9711,-0.015625,-0.046875,-0.9375
"40",1607342129.9811,-0.015625,-0.046875,-0.9375
"41",1607342129.9911,-0.0288308202130123,-0.046875,-0.9375
"42",1607342130.0011,-0.0184953114146793,-0.046875,-0.9375
"43",1607342130.0111,-0.015625,-0.046875,-0.9375
"44",1607342130.0211,-0.015625,-0.046875,-0.949352425329937
"45",1607342130.0311,-0.015625,-0.046875,-0.953125
"46",1607342130.0411,-0.015625,-0.046875,-0.942174837925446
"47",1607342130.0511,-0.015625,-0.046875,-0.9375
"48",1607342130.06109,-0.015625,-0.046875,-0.947547898819171
"49",1607342130.07109,-0.015625,-0.046875,-0.94352823280852
"50",1607342130.08109,-0.015625,-0.046875,-0.9375
"51",1607342130.09109,-0.015625,-0.046875,-0.9375
"52",1607342130.10109,-0.015625,-0.046875,-0.9375
"53",1607342130.11109,-0.015625,-0.046875,-0.9375
"54",1607342130.12109,-0.015625,-0.046875,-0.9375
"55",1607342130.13109,-0.015625,-0.046875,-0.9375
"56",1607342130.14109,-0.015625,-0.046875,-0.9375
"57",1607342130.15109,-0.015625,-0.046875,-0.9375
"58",1607342130.16109,-0.015625,-0.046875,-0.9375
"59",1607342130.17109,-0.015625,-0.046875,-0.9375
"60",1607342130.18109,-0.015625,-0.046875,-0.9375
"61",1607342130.19109,-0.015625,-0.046875,-0.9375
"62",1607342130.20109,-0.015625,-0.046875,-0.9375
"63",1607342130.21109,-0.015625,-0.046875,-0.9375
"64",1607342130.2211,-0.015625,-0.046875,-0.9375
"65",1607342130.2311,-0.015625,-0.046875,-0.939879384695531
"66",1607342130.2411,-0.015625,-0.046875,-0.95119674693216
"67",1607342130.2511,-0.015625,-0.046875,-0.9375
"68",1607342130.2611,-0.015625,-0.046875,-0.9375
"69",1607342130.2711,-0.015625,-0.046875,-0.9375
"70",1607342130.2811,-0.015625,-0.046875,-0.9375
"71",1607342130.2911,-0.015625,-0.046875,-0.9375
"72",1607342130.3011,-0.015625,-0.046875,-0.9375
"73",1607342130.31109,-0.015625,-0.046875,-0.9375
"74",1607342130.32109,-0.015625,-0.046875,-0.9375
"75",1607342130.33109,-0.015625,-0.046875,-0.9375
"76",1607342130.34109,-0.015625,-0.046875,-0.9375
"77",1607342130.35109,-0.015625,-0.046875,-0.9375
"78",1607342130.36109,-0.015625,-0.046875,-0.949639673535541
"79",1607342130.37109,-0.015625,-0.046875,-0.941436458092151
"80",1607342130.38109,-0.015625,-0.046875,-0.9375
"81",1607342130.39109,-0.015625,-0.046875,-0.9375
"82",1607342130.40109,-0.015625,-0.046875,-0.9375
"83",1607342130.41109,-0.015625,-0.046875,-0.9375
"84",1607342130.42109,-0.015625,-0.046875,-0.9375
"85",1607342130.43109,-0.015625,-0.046875,-0.946481752141699
"86",1607342130.44109,-0.015625,-0.046875,-0.944594379485992
"87",1607342130.45109,-0.015625,-0.046875,-0.9375
"88",1607342130.46109,-0.015625,-0.046875,-0.9375
"89",1607342130.4711,-0.015625,-0.046875,-0.9375
"90",1607342130.4811,-0.015625,-0.0536014557768002,-0.9375
"91",1607342130.4911,-0.015625,-0.0562246758508914,-0.9375
"92",1607342130.5011,-0.015625,-0.046875,-0.943324192521417
"93",1607342130.5111,-0.015625,-0.046875,-0.947751939106275
"94",1607342130.5211,-0.015625,-0.046875,-0.9375
"95",1607342130.5311,-0.015625,-0.046875,-0.941970797638342
"96",1607342130.5411,-0.015625,-0.046875,-0.949105333989349
"97",1607342130.5511,-0.015625,-0.046875,-0.9375
"98",1607342130.56109,-0.015625,-0.046875,-0.9375
"99",1607342130.57109,-0.015625,-0.046875,-0.9375
"100",1607342130.58109,-0.015625,-0.046875,-0.9375
"101",1607342130.59109,-0.015625,-0.046875,-0.9375
"102",1607342130.60109,-0.015625,-0.046875,-0.9375
"103",1607342130.61109,-0.015625,-0.046875,-0.9375
"104",1607342130.62109,-0.015625,-0.046875,-0.9375
"105",1607342130.63109,-0.015625,-0.046875,-0.9375
"106",1607342130.64109,-0.015625,-0.0620087115072934,-0.9375
"107",1607342130.65109,-0.015625,-0.0478174201203982,-0.9375
"108",1607342130.66109,-0.015625,-0.046875,-0.9375
"109",1607342130.67109,-0.015625,-0.046875,-0.9375
"110",1607342130.68109,-0.015625,-0.046875,-0.9375
"111",1607342130.69109,-0.015625,-0.046875,-0.9375
"112",1607342130.70109,-0.015625,-0.046875,-0.9375
"113",1607342130.71109,-0.015625,-0.046875,-0.9375
"114",1607342130.7211,-0.015625,-0.0584000202593193,-0.9375
"115",1607342130.7311,-0.015625,-0.0514261113683723,-0.9375
"116",1607342130.7411,-0.015625,-0.046875,-0.9375
"117",1607342130.7511,-0.015625,-0.046875,-0.947671625376244
"118",1607342130.7611,-0.015625,-0.046875,-0.943404506251447
"119",1607342130.7711,-0.015625,-0.046875,-0.9375
"120",1607342130.7811,-0.015625,-0.046875,-0.94631823049317
"121",1607342130.7911,-0.015625,-0.046875,-0.944757901134522
"122",1607342130.8011,-0.015625,-0.046875,-0.9375
"123",1607342130.81109,-0.015625,-0.046875,-0.9375
"124",1607342130.82109,-0.015625,-0.046875,-0.947468049387035
"125",1607342130.83109,-0.015625,-0.046875,-0.946561059841134
"126",1607342130.84109,-0.015625,-0.046875,-0.9375
"127",1607342130.85109,-0.015625,-0.046875,-0.9375
"128",1607342130.86109,-0.015625,-0.046875,-0.9375
"129",1607342130.87109,-0.015625,-0.046875,-0.9375
"130",1607342130.88109,-0.015625,-0.046875,-0.9375
"131",1607342130.89109,-0.015625,-0.046875,-0.9375
"132",1607342130.90109,-0.015625,-0.046875,-0.940926992149507
"133",1607342130.91109,-0.015625,-0.046875,-0.950146259350177
"134",1607342130.92109,-0.015625,-0.046875,-0.940030771635673
"135",1607342130.93109,-0.015625,-0.046875,-0.951042245611597
"136",1607342130.94109,-0.015625,-0.046875,-0.939134471758412
"137",1607342130.95109,-0.015625,-0.046875,-0.951938524732527
"138",1607342130.96109,-0.015625,-0.046875,-0.9375
"139",1607342130.9711,-0.015625,-0.046875,-0.9375
"140",1607342130.9811,-0.015625,-0.046875,-0.9375
"141",1607342130.9911,-0.015625,-0.046875,-0.9375
"142",1607342131.0011,-0.015625,-0.046875,-0.9375
"143",1607342131.0111,-0.015625,-0.046875,-0.9375
"144",1607342131.0211,-0.015625,-0.046875,-0.9375
"145",1607342131.0311,-0.015625,-0.046875,-0.9375
"146",1607342131.0411,-0.015625,-0.046875,-0.9375
"147",1607342131.0511,-0.015625,-0.046875,-0.9375
"148",1607342131.06109,-0.015625,-0.046875,-0.9375
"149",1607342131.07109,-0.015625,-0.046875,-0.9375
"150",1607342131.08109,-0.015625,-0.046875,-0.9375
"151",1607342131.09109,-0.015625,-0.046875,-0.9375
"152",1607342131.10109,-0.015625,-0.046875,-0.94758992462137
"153",1607342131.11109,-0.015625,-0.046875,-0.943483172575901
"154",1607342131.12109,-0.015625,-0.046875,-0.9375
"155",1607342131.13109,-0.015625,-0.046875,-0.946245527546838
"156",1607342131.14109,-0.015625,-0.046875,-0.953125
"157",1607342131.15109,-0.015625,-0.046875,-0.945275772330423
"158",1607342131.16109,-0.015625,-0.046875,-0.9375
"159",1607342131.17109,-0.015625,-0.046875,-0.944452927792316
"160",1607342131.18109,-0.015625,-0.046875,-0.946620041221834
"161",1607342131.19109,-0.015625,-0.046875,-0.9375
"162",1607342131.20109,-0.015625,-0.046875,-0.943108658900905
"163",1607342131.21109,-0.015625,-0.046875,-0.947964429623454
"164",1607342131.2211,-0.015625,-0.046875,-0.9375
"165",1607342131.2311,-0.015625,-0.046875,-0.9375
"166",1607342131.2411,-0.015625,-0.046875,-0.9375
"167",1607342131.2511,-0.015625,-0.046875,-0.9375
"168",1607342131.2611,-0.015625,-0.046875,-0.9375
"169",1607342131.2711,-0.015625,-0.046875,-0.9375
"170",1607342131.2811,-0.015625,-0.046875,-0.9375
"171",1607342131.2911,-0.015625,-0.046875,-0.9375
"172",1607342131.3011,-0.015625,-0.046875,-0.9375
"173",1607342131.31109,-0.015625,-0.046875,-0.9375
"174",1607342131.32109,-0.015625,-0.046875,-0.9375
"175",1607342131.33109,-0.015625,-0.046875,-0.9375
"176",1607342131.34109,-0.015625,-0.046875,-0.9375
"177",1607342131.35109,-0.015625,-0.046875,-0.9375
"178",1607342131.36109,-0.015625,-0.046875,-0.9375
"179",1607342131.37109,-0.015625,-0.046875,-0.9375
"180",1607342131.38109,-0.015625,-0.046875,-0.9375
"181",1607342131.39109,-0.015625,-0.046875,-0.9375
"182",1607342131.40109,-0.015625,-0.046875,-0.9375
"183",1607342131.41109,-0.015625,-0.046875,-0.9375
"184",1607342131.42109,-0.015625,-0.046875,-0.9375
"185",1607342131.43109,-0.015625,-0.046875,-0.948427114934809
"186",1607342131.44109,-0.015625,-0.046875,-0.942646096753277
